ca_address_sk|ca_street_number|ca_street_name|ca_city|ca_state|ca_zip
3113|20|Lee Ridge|Unionville|PA|11711
3114|81|Pine |Pleasant Hill|NY|13604
3115|253|Cherry Eigth|Five Forks|MN|52293
3116|972|Oak |Mountain View|WI|54466
3117|213|4th |Jackson|KY|49583
3118|939|Dogwood 2nd|Union|MD|28721
3119|969|Third Ridge|Jackson|MI|49583
3120|84|Spring |Ellsworth|MS|55079
3121|849|First |Antioch|KY|48605
3122|302|Center |Star|CA|90725
3123|314|Church Madison|Oak Hill|WY|87838
3124|977|Eigth |Forest Hills|GA|39237
3125|327|Church Elm|||
3126|662|4th |Aberdeen|OK|77995
3127|78|Lincoln Smith|Greenwood|MN|58828
3128|952|Third Johnson|Wildwood|AR|76871
3129|677|Walnut |Lakeside|CA|99532
3130|||Providence|WV|26614
3131|103|Cedar Oak|Highland|TX|79454
3132|234|First Park|Newport|SD|51521
3133|854|Johnson South|Riverside|AR|79231
3134|510|Seventh Spring|Georgetown|MS|57057
3135|796|Cherry |Oakland|FL|39843
3136|202|5th 13th|Paxton|ID|85669
3137|817|East Sixth|Green Acres|OR|97683
3138|866|Franklin |Glendale|MS|53951
3139|982|Ash 8th|Five Forks|WA|92293
3140|147|Pine |Oakdale|NH|09584
3141|205|Washington |Green Acres|VA|27683
3142|245|Oak 2nd|Newport|MO|61521
3143||Hill |Greenwood|TX|
3144|897|3rd River|Greenville|WI|51387
3145|327|Fifth |Wyoming|MO|60216
3146|633|Cedar Jackson|Acme|IA|50164
3147|807|Maple |Oak Ridge|OH|48371
3148|214|Highland |Sunnyside|IL|61952
3149|354|Center Davis|Valley View|LA|75124
3150|299|Jefferson |Clinton||58222
3151|561|Mill Adams|Centerville|MS|50059
3152|515|Park 4th|Sulphur Springs|KY|48354
3153|886|Forest First|Lebanon|AR|72898
3154|||Deerfield||69840
3155|899|Willow |Smith|TN|37317
3156|887|5th |Mount Zion|MO|68054
3157|417|Woodland 10th|Green Acres|IA|57683
3158|979|Fifth Church|Newport|KS|61521
3159|589|West |Riverside|SC|29231
3160|388|West |Sheridan|WA|97219
3161|732|Meadow |Jackson|MI|49583
3162|294|Washington |Pleasant Hill|GA|33604
3163|535|Lake |Riverview|OH|49003
3164|343|Jackson Mill|Shady Grove|TX|72812
3165|3|Ridge |Lone Oak|IL|66893
3166|821|2nd View|Jackson|NC|29583
3167|97|Pine |Siloam|KY|48948
3168|778|Johnson |Wildwood|MN|56871
3169|247|Dogwood |Harmony|CA|95804
3170|371|Walnut |Jamestown|TN|36867
3171|680|South |Riverdale|VA|29391
3172|558|7th Broadway|Pine Grove|KS|64593
3173|509|Main |Harmony|MO|65804
3174|616|Pine |Montague|LA|74062
3175|65|Wilson Second|Jamestown|IL|66867
3176|642|Washington |Oak Hill|IL|67838
3177|876|Franklin |Pleasant Hill|MS|53604
3178|618|Mill River|Sulphur Springs|MO|68354
3179|207|Fifth |Newtown|MI|41749
3180|4|7th Elm|Salem|GA|38048
3181|909|2nd |Clifton|IL|68014
3182|252|Main Wilson|Spring Hill|MA|07387
3183|427|Lake 13th|Lakeside|KS|69532
3184|73|Locust Lakeview|Unionville|AK|91711
3185|581|Fourth 10th|Salem|IL|68048
3186|963|Forest |Ashland|WV|24244
3187|829|Walnut |Riverview|ND|59003
3188|896|Seventh 5th|Cedar Grove|NV|80411
3189|706|Hill Lincoln|Forest Hills|KS|69237
3190|198|Church |Mount Vernon|NE|69127
3191|149|First Cherry|Waterloo|IA|51675
3192|849|Cedar |Buena Vista|PA|15752
3193|146|Spruce |Clearview|IN|45495
3194|205|2nd |Ashland|KY|44244
3195|483|Willow |Georgetown|AR|77057
3196|378|12th |Garrison|TX|78767
3197|||Plainview|GA|
3198|473|5th Davis|Springdale|MO|68883
3199|827||Farmington||
3200|574|Jackson 3rd|Wilson|GA|36971
3201|187|Main |Concord|IL|64107
3202|725|Cedar Meadow|Five Points|NV|86098
3203|460|2nd Walnut|Farmington|NY|19145
3204|682|Highland |Woodland|MN|54854
3205|873|Thirteenth |Maple Grove|CA|98252
3206|296|Oak |Flatwoods|KS|64212
3207|465|Ridge 6th|Crossroads|IL|60534
3208|873|Hill |White Oak|NH|07268
3209|426|Laurel |Shady Grove|FL|32812
3210|902|Miller Maple|||
3211|316|3rd |White Oak|AL|36668
3212|98|Spruce Pine|Salem|FL|38048
3213|913|12th 2nd|Oakdale|TX|79584
3214|157|Oak Third|Maple Grove|NE|68252
3215|751|1st Walnut|Harmony|KY|45804
3216|823|Oak |Cedar Grove|VA|20411
3217|318|Hickory |Union Hill|SC|27746
3218|1000|Walnut |Oak Grove|OH|48370
3219|383|7th |Bethel|NE|65281
3220|35|Fourth North|Riverview|TX|79003
3221|545|||PA|
3222|435|3rd |Glendale|OH|43951
3223|747|Meadow |Belmont|MI|40191
3224|714||Highland Park|LA|76534
3225|20|Lincoln 12th|Lakeside|WA|99532
3226|791|3rd |Edgewood|GA|30069
3227|305|Center Park|Oakdale|OH|49584
3228|248|Lee |Oakland|OK|79843
3229||9th Hill|||76867
3230|918|Lake |Shelby|GA|36575
3231|706|Lakeview |Edgewood|NY|10069
3232|369|Wilson |Sulphur Springs|TX|78354
3233|124|Forest |Bethel|OH|45281
3234|318|3rd Williams|Wayland|TX|75115
3235|964|Forest Hickory|Liberty|MI|43451
3236|835|Pine Oak|Fairfield|MT|66192
3237|229|Spring Hickory|Franklin|UT|89101
3238|751|Third |Georgetown|WA|97057
3239|42|South |New Hope|TN|39431
3240|249|1st |Denver|IN|45547
3241|419|Highland Church|Antioch|TX|78605
3242|444|Forest |Florence|NV|83394
3243|734|Woodland Williams|Fairfield|OH|46192
3244|489|Elm |Summit|OH|40499
3245|827|Highland North|Five Forks|WA|92293
3246|176|Seventh |Waterloo|ND|51675
3247|127|Woodland |Oakdale|VA|29584
3248|881|Spring 4th|New Hope|NE|69431
3249|591|Cedar Center|Union Hill|MD|27746
3250|238|Laurel |Pleasant Hill|NE|63604
3251|108|Spring Wilson|Glenwood|GA|33511
3252|373|Pine Elm|Oakdale|IL|69584
3253|614|Maple |Stringtown|SD|50162
3254|718|Johnson 12th|Highland Park|DE|16534
3255|913|Smith |Enterprise|GA|31757
3256|991|4th |Pleasant Grove|TX|74136
3257|831|Oak Eigth|Calhoun|IL|66909
3258|698|10th |Sulphur Springs|CO|88354
3259|949|7th 2nd|Woodland|CA|94854
3260|295|Meadow |Hamilton|GA|32808
3261|742|Railroad |Centerville|CO|80059
3262|622|Main South|Mountain View|IA|54466
3263|571|Oak Williams|Bolton|AL|35957
3264|930|3rd |Pleasant Hill|DE|13604
3265|609||Five Points|SC|26098
3266|825|Broadway 15th|Clinton|KY|48222
3267|4|Fourth Cherry|Green Acres|SD|57683
3268|311|Smith |Bunker Hill|IL|60150
3269|549|2nd |Plainview|VA|23683
3270|52|10th |Sunnyside|NE|61952
3271|73|Church Walnut|Woodlawn|CT|04698
3272|219|Miller Maple|Shady Grove|NC|22812
3273|314|9th |Friendship|MS|54536
3274|903|Woodland Sunset|Franklin|ME|09701
3275|746|College South|Riverside|GA|39231
3276|294|Broadway Oak|Mechanicsburg|IA|52219
3277|645|Wilson |Enterprise|KY|41757
3278|968|Park Church|Arlington|MO|66557
3279|890|Valley Highland|Harmony|TX|75804
3280|553|Jackson |Williamsville|KY|48754
3281|||Centerville||
3282|662|Center Main|Friendship|MN|54536
3283|491|Franklin Green|Walnut Grove|KY|47752
3284|954|Cherry Sycamore|Shiloh|VA|29275
3285|118|Oak |Woodlawn|NH|04698
3286|934|Wilson |Woodland Park|IN|41934
3287|277|Highland East|West Liberty|MO|64752
3288|177|Lincoln |Red Hill|VA|24338
3289|479|Spruce Sunset||TX|
3290|998|Williams North|Lebanon|CO|82898
3291|967|Cedar |Lakeside|IA|59532
3292|867|2nd |Ellsworth|AR|75079
3293|273|Lake |Providence|ND|56614
3294|617|Main |Shady Grove|WV|22812
3295|74|Church |Riverside|MN|59231
3296|176|2nd |Riverview|NC|29003
3297|653|Davis Fourth|Hillcrest|TX|73003
3298|495|Mill |Lebanon|IN|42898
3299|540|6th |Unionville|NC|21711
3300|386|Railroad Smith|Riverside|TX|79231
3301|104|Sunset |Summit|FL|30499
3302|676|10th Main|Florence|TX|73394
3303|702|Ash Jackson|San Jose|OK|78003
3304|559|North 9th|Hopewell|MI|
3305|773|Williams |Crossroads|MN|50534
3306|834|View |Harmony|PA|15804
3307|734|East Adams|Mount Pleasant|TN|32739
3308|370|8th |Enterprise|TX|71757
3309|678|Lee |White Oak|MO|66668
3310|659|Johnson Green|Oakland|IL|69843
3311|231|View Birch|Oak Hill|VA|27838
3312|23|1st |Plainview|NY|13683
3313|361|2nd |Florence|KY|43394
3314|675|13th Church|Oak Grove|VT|08970
3315|583|5th Chestnut|Warwick|IN|41398
3316|1|Sunset Davis|Lone Oak|TX|76893
3317|140|Spruce Hickory|Spring Hill|KY|46787
3318|896|Hill Third|Green Acres|GA|37683
3319|22|Sunset |Ashland|KY|44244
3320|687|Church Lake|Summit|MS|50499
3321|882|Church |Friendship|SC|24536
3322|754|Hillcrest Chestnut|Georgetown|TX|77057
3323|877|Washington |Lawrenceville|NY|14462
3324|357|Fourth |Bridgeport|ND|55817
3325|13|Mill |Midway|VA|21904
3326|789|4th |Belmont|SD|50191
3327|336|Park Cedar|Ferguson|KS|61821
3328|730|West Lakeview|Riverdale|OK|79391
3329|170|Washington |Highland Park|MS|56534
3330|363|Jefferson |Brownsville|KY|49310
3331|216|Madison |Oakwood|WV|20169
3332|295|Spring |Springfield|AL|39303
3333||Ridge Willow|||
3334|44|Ridge 3rd|Oak Hill|OR|97838
3335|102|Oak Lake|Centerville|KS|60059
3336|375|3rd Tenth|Wildwood|NY|16871
3337|192|Lincoln Franklin|The Meadows|ME|00626
3338|329|Fifth View|Walnut Grove|TX|77752
3339|317|Cedar Maple|Forest Hills|KS|69237
3340|7|Ridge 2nd|Glendale|GA|33951
3341|453|Main |Unionville|NY|11711
3342|159|Jackson 2nd|Shady Grove|LA|72812
3343|913|River Smith|Greenville|KS|61387
3344|196|Hill |Riverdale|IN|49391
3345|18|Lincoln 8th|Oak Hill|NJ|08438
3346|77|Adams |New Boston|GA|34484
3347|97|3rd Park|Woodville|OK|74289
3348|872|Green Park|Green Acres|WV|27683
3349|919|West Chestnut|Fairview|WI|55709
3350|966|Sixth Madison|Hamilton|KS|62808
3351|2|Park |Woodlawn|NC|24098
3352|575||Winslow||88525
3353|30|Willow |Farmington|GA|39145
3354|885|5th Lincoln|Highland|IN|49454
3355|240|First |Woodlawn|IL|64098
3356|709|Second |Westminster|GA|36549
3357|811|Birch Tenth|Brookwood|UT|80965
3358|958|Hill Third|Unionville|KY|41711
3359|18|Sunset 1st|Silver Creek|SD|54546
3360|855|Mill |Mount Pleasant|NJ|03339
3361|873|Central |Georgetown|MI|47057
3362|||||75752
3363|||||21675
3364|649|7th |Riverdale|NC|29391
3365|64|View |Lebanon|PA|12898
3366|807|Hill |Forest Hills|VA|29237
3367|596|10th Main|Unionville|TX|71711
3368|851|River |Five Points|ND|56098
3369|123|Park |Oak Hill|OH|47838
3370|213|Eigth |Florence|TN|33394
3371|311|Elm |Jamestown|VA|26867
3372|450|Center Railroad|Adrian|IN|43301
3373|197|South |Antioch|NY|18605
3374|343|Highland Jackson|Georgetown|AR|77057
3375|52|College View|Lincoln|NE|61289
3376|187|Lakeview |Carthage|KY|41529
3377|974|North |Oak Grove|KY|48370
3378|533|Park |Hillcrest|CO|83003
3379|501|6th |Salem|MO|68048
3380|23|9th Railroad|Springdale|IA|58883
3381|284|Green |Union|TX|78721
3382|550|5th Spring|Stratford|TX|76668
3383|671|Broadway 4th|Union|VA|28721
3384|379|3rd |Five Forks|IN|42293
3385|669|Green |Red Hill|NH|04938
3386|419|Spring Fourth|Woodlawn|ND|54098
3387|986|Spruce |White Oak|TX|76668
3388|178|Cherry |Valley View|WI|55124
3389|188|9th |Summit|GA|30499
3390|555|3rd |Newtown|IN|41749
3391|280|Jackson Jefferson|Jamestown|WY|86867
3392|883|14th Forest|Lakeview|MO|68579
3393|432|Wilson Highland|Highland Park|MI|46534
3394|938|Mill |Wildwood|SC|26871
3395|203|Hillcrest |Shiloh|IA|59275
3396|865|Locust Third|Mount Pleasant|KY|42739
3397|982|1st |Bridgeport|SD|55817
3398|294|Forest 2nd|Walnut Grove|IL|67752
3399|734|Tenth Ash|Pleasant Grove|MI|44136
3400|892|Spring East|Salem|IN|48048
3401|11|4th Second|Maple Hill|OH|48095
3402|479|Adams 9th|Crossroads|NY|10534
3403|||Fairview||
3404|880|Jackson |Rocky Point|OH|41209
3405|283|View |Greenwood|OK|78828
3406|672|4th Lake|Oak Hill|IN|47838
3407|530|Davis North|Summit|SD|50499
3408|643|3rd |Five Points|IN|46098
3409|992|4th |Oakland|ID|89843
3410|583|Jefferson |Hardy|AR|75354
3411|376||Forest Hills|WA|
3412|291|7th South|Marion|WV|20399
3413|349|Elm 7th|Oakland|KY|49843
3414|767|Fifth |Glendale|ID|83951
3415|254|Third 3rd|Belmont|GA|30191
3416|484|3rd |Mount Pleasant|ND|52739
3417|231|Cedar Cedar|Newport|MI|41521
3418|115|Sunset |Friendship|WI|54536
3419|617|Third |Kingston|TX|74975
3420|437|Lake Cedar|Westminster|AL|36549
3421|405|Hickory Willow|The Meadows|IA|50026
3422|58|1st |Fairview|FL|35709
3423|370|Pine Birch|Concord|IA|54107
3424|956|7th |Plainview|IA|53683
3425|677|Fifth Wilson|Clearview|MA|06095
3426|897|Sixth Hillcrest|Ashland|NC|24244
3427|202|Lincoln |Greenwood|OR|98828
3428|94|Forest |Jackson|CA|99583
3429|788|3rd |Whitney|TX|78339
3430|154|Willow Highland|Bunker Hill|IN|40150
3431|899|Oak Hill|Providence|IN|46614
3432|421|9th River|Forest Hills|KY|49237
3433|261|Elevnth |Shady Grove|AZ|82812
3434|450|Forest |Five Forks|IA|52293
3435|395|Lake |Mount Olive|IN|48059
3436|641|Lincoln Park|Brownsville|AL|39310
3437||Church Elm|||56557
3438|57|View |Oak Ridge|AL|38371
3439|765|Lee Valley|New Hope|MN|59431
3440|429|Mill First|Macedonia|MN|51087
3441|355|Maple |Salem|AR|78048
3442|809|Hill |Fairfield|WA|96192
3443|648|South |Bridgeport|GA|35817
3444|150|Pine |Five Forks|MO|62293
3445|259|Maple |Lakewood|MA|09477
3446|957|Laurel 11th|Greenfield|NM|85038
3447|465|4th Cherry|Woodlawn|NE|64098
3448|455|Jackson Hillcrest|Crossroads|MI|40534
3449|714|Pine |Newport|SD|51521
3450|80|North |Oakwood|IL|60169
3451|610|14th Jackson|Newport|IL|61521
3452|5|4th |Mount Vernon|MN|59127
3453|814|1st |Sulphur Springs|TX|78354
3454||Hill |||
3455|583|||KY|40913
3456|635|13th |Stringtown|MA|00762
3457|804|Hickory |Flint Hill|TX|77934
3458|819|Elm |Edgewood|WA|90069
3459|503|Sixth |Post Oak|FL|38567
3460|464|Walnut |Pine Grove|ID|84593
3461|203|Walnut |Mount Olive|WY|88059
3462|306|Tenth |Kingston|OH|44975
3463|42|Lee North|Harvey|IL|65858
3464|939|North 1st|Springfield|AL|39303
3465|277|Church |Sawyer|MN|56045
3466|59|Ash |Ashland|TX|74244
3467|986|1st Jefferson|Mount Olive|LA|78059
3468|336|Lee 5th|Union Hill|TX|77746
3469|614|Davis |Fairview|WI|55709
3470|517|Adams |Ashland|RI|04844
3471|510|Jefferson |Lincoln|AK|91289
3472|884|Broadway Cherry|Florence|TX|73394
3473|171|Smith |Lakeside|PA|19532
3474|974|View 1st|Saint Johns|WA|95717
3475|632|Center Third|Lakeside|OK|79532
3476|834|Oak |Hamilton|WV|22808
3477|482|Washington Third|Red Hill|AR|74338
3478|644|1st Oak|Forest Hills|TX|79237
3479|412|Johnson Lake|Waterloo|TX|71675
3480|699|Jefferson |Clinton|MN|58222
3481|126|Meadow |Jerome|OH|49920
3482|276|6th Miller|Lebanon|KY|42898
3483|137|Second |Summit|NC|20499
3484|234|Cedar 6th|Highland Park|IA|56534
3485|466|Forest |Summit|SD|50499
3486|173|South Forest|Pleasant Hill|SD|53604
3487|646|Adams Meadow|Lakewood|MD|28877
3488|3|Pine Twelfth|Union Hill|NJ|08346
3489|911|South |Hopewell|KS|60587
3490|||Highland|CA|
3491|282|Madison Ridge|Oak Grove|AR|78370
3492|175|Lakeview 13th|Wildwood|KS|66871
3493|669|Fourth |Georgetown|AR|77057
3494|415|Eigth |Farmington|VA|29145
3495|645|Johnson |Mount Olive|MI|48059
3496|413|Main |Green Acres|TN|37683
3497|165|Elm |Oakwood|TX|70169
3498|870|Cedar Adams|Riverside|MN|59231
3499|894|Poplar Adams|Bethany|GA|35460
3500|596|Poplar Pine|Unionville|GA|31711
3501|506|Second Fourth|Springfield|CO|89303
3502|233|Sunset Main|Superior|WA|92562
3503|654|Park Chestnut|Bunker Hill|MO|60150
3504|34|Oak |Millbrook|VA|27529
3505|605|Jackson |Franklin|FL|39101
3506|288|Birch |Oakland|ID|89843
3507|461|Center Second|Oakdale|OH|49584
3508|760|Fifth Hill|Forest Hills|WA|99237
3509|417|East 4th|Mount Zion|ND|58054
3510|925|7th 13th|Glenwood|VA|23511
3511|862|9th Jackson|Waterloo|IN|41675
3512|444|Hillcrest North|Centerville|IA|50059
3513|904|3rd Highland|Lincoln|NJ|01889
3514|824|Oak |Brentwood|IA|54188
3515|102|Spruce Fourth|Jamestown|KY|46867
3516|236|Main |Walnut Grove|TX|77752
3517|525|Park Maple|Forest Hills|SD|59237
3518|471|View Pine|Stewart|IA|58041
3519|726|Main Walnut|Antioch|OK|78605
3520|607|Park Lake|Adrian|TX|73301
3521|956|Lake Church|Springfield|PA|19303
3522|203|Railroad |Clinton|TX|78222
3523|653|Jefferson 3rd|Roy|NE|60744
3524|798|College Spruce|Red Hill|KS|64338
3525|292|Lee Park|Carthage|WV|21529
3526|675|Church 7th|Hillcrest|IL|63003
3527|716|Mill 1st|Green Acres|VA|27683
3528|33|4th |Greenwood|OK|78828
3529|312|Adams |Edgewood|VA|20069
3530|904|14th |Oneida|GA|34027
3531|832|First Wilson|Riverview|NY|19003
3532|467|Jefferson |Mount Vernon|MT|69127
3533|598|Eigth Main|Greenwood|MS|58828
3534||Dogwood ||OR|91087
3535|641|Madison |Green Acres|TN|37683
3536|325|Lakeview |Providence|KY|46614
3537|39|Lakeview |Bethel|FL|35281
3538|103|Johnson |Lincoln|GA|31289
3539|545|Washington Sunset|Five Points|PA|16098
3540|827|7th Dogwood|Concord|CO|84107
3541|654|Ridge 10th|Jackson|WA|99583
3542|236|5th Lake|Sulphur Springs|KS|68354
3543|561|12th 1st|Brownsville|MS|59310
3544|492|View Oak|Walnut Grove|GA|37752
3545|19|Ridge |Belmont|HI|90191
3546|511|Hill Jackson|Shady Grove|IN|42812
3547|981|Park |Newport|MO|61521
3548|709|Sycamore |White Oak|VA|26668
3549|673|Hickory |Union Hill|IA|57746
3550|853|3rd |Clifton|ID|88014
3551|518|Jefferson Lincoln|Midway|AL|31904
3552|86|12th 4th|Bear Creek|MN|53075
3553|809|Smith 2nd|Harmony|ND|55804
3554|671|Green Cedar|Bridgeport|AR|75817
3555||Woodland Sycamore||SD|56614
3556|544|College Willow|Lakeside|TX|79532
3557|316|Sycamore Laurel|Oakdale|KY|49584
3558|105|Third |Leon|IL|60913
3559|99|Cedar |Bunker Hill|WI|50150
3560|953|Fourth |Sulphur Springs|OR|98354
3561|207|Davis Hill|Ryan|MN|50525
3562|597|10th |Providence|AL|36614
3563|508|Wilson |Jamestown|TN|36867
3564|473|Washington Main|Pleasant Hill|KY|43604
3565|369|Cedar |Waterloo|CO|81675
3566|501|Second |Oak Grove|IA|58370
3567|561|First 2nd|Walnut Grove|MI|47752
3568|113|Chestnut 1st|Springfield|MI|49303
3569|295|Second |Centerville|VA|20059
3570|568|Third Valley|Belmont|ID|80191
3571|427|Elevnth Main|Riverview|UT|89003
3572|779|First Park|Friendship|MT|64536
3573|746|East Park|Lakeview|IN|48579
3574|||Forest Hills|MO|69237
3575|890|Hill Ridge|Oakdale|CA|99584
3576|620|Hill Hillcrest|Marion|KY|40399
3577|322|Highland First|Five Points|NC|26098
3578|391|Valley Adams|Bridgeport|WY|85817
3579|469|Center |Macedonia|ME|01687
3580||Spruce Broadway|||
3581|83|Lake Locust|Woodland|MS|54854
3582|803|Madison Sunset|Forest Hills|TX|79237
3583|917|Meadow Maple|Ashland|IA|54244
3584|9|Ninth Pine|White Oak|MN|56668
3585|229|Chestnut |Weldon|MD|26277
3586|779|15th Birch|Macedonia|MS|51087
3587|637|Park |Oak Hill|SD|57838
3588|44|12th Railroad|Spring Hill|MN|56787
3589|736|Broadway Dogwood|Bunker Hill|GA|30150
3590|712|Sunset 11th|Lakeside|OK|79532
3591|157|East |Fairview|TN|35709
3592|294|Washington Hill|Midway|MO|61904
3593|573|13th 2nd|Ashland|OH|44244
3594|874|Pine |Oak Hill|WI|57838
3595|85|Fourteenth Third|Clinton|KY|48222
3596|27|Walnut |Deerfield|WV|29840
3597|377|Sixth Railroad|Highland|MT|69454
3598|99|Lake |Antioch|OH|48605
3599|218|Lake College|Clifton|IL|68014
3600|173|Walnut 1st|Maple Grove|GA|38252
3601|556|Main North|Oakwood|MI|40169
3602|350|13th |Oakland|KY|49843
3603|558|1st Sixth|Hamilton|ID|82808
3604|409|Davis Oak|Unionville|IA|51711
3605|636|9th 13th|Harmony|KS|65804
3606|496|Spring 10th|Greenwood|NC|28828
3607|492|Maple |Brooks|MA|01184
3608|740|Elm |Union Hill|WI|57746
3609|879|Lake Lake|Clinton|MT|68222
3610||Cedar ||VA|24098
3611|985|Hickory Forest|Marion|AK|90399
3612|380|Woodland Dogwood|Royal|WY|85819
3613|873|Church Cherry|Oakdale|MI|49584
3614|||Lee|MO|60408
3615|866|Fourth Locust|Shiloh|MS|59275
3616|105|Locust |Green Acres|AR|77683
3617|625|Poplar Church|Kingston|PA|14975
3618|868|West |Greenville|SC|21387
3619|774|5th |Youngstown|AZ|80001
3620|877|7th |Liberty|TX|73451
3621|31|Oak Church|Greenfield|NC|25038
3622|487|Lake |Highland Park|AR|76534
3623|523|Maple |Bethesda|FL|35980
3624|770|Birch Lakeview|Highland Park|NM|86534
3625|494|Second |Clifton|MS|58014
3626|46|13th |Kingston|KY|44975
3627|320|4th |Union Hill|MT|67746
3628|320|Cedar Dogwood|Mount Vernon|TN|39127
3629|184|4th 14th|Bunker Hill|TX|70150
3630|74|Sunset Jackson|Friendship|TN|34536
3631|712|Second |Wilson|KY|46971
3632||||MO|69532
3633|421|Spruce |Sunnyside|IN|41952
3634|||||
3635|991|1st |Harmony|WI|55804
3636|28|6th |Harmony|TX|75804
3637|908|Chestnut |Lakeside|PA|19532
3638|430|Green |Oakland|KY|49843
3639|255|River Central|Lakeside|IN|49532
3640|113|Franklin Park|Fairview|MO|65709
3641|329|5th |Jackson|NJ|09583
3642|258|Second Poplar|Florence|NC|23394
3643|903|Franklin |Pine Grove|AK|94593
3644|152|Spruce Miller|Lincoln|TN|31289
3645|713|Park |Walnut Grove|MT|67752
3646|865|Cedar |Newtown|SD|51749
3647|988|Lake Seventh|Greendale|NE|69343
3648|424|Mill Williams|Redland|TX|76343
3649|823|Park 14th|New Hope|MO|69431
3650|695|7th 9th|Stringtown|OK|70162
3651|556|Wilson Highland|Forest Hills|WA|99237
3652|931|Second Maple|Hillcrest|TX|73003
3653|93|3rd 7th|Ashland|CO|84244
3654|228|Dogwood |Lakeview|NE|68579
3655|916|Forest 5th|Friendship|OR|94536
3656|111|Sunset |Woodbine|IA|54253
3657|817|Williams 3rd|Wright|NC|22814
3658|236|12th 11th|Hamilton|WI|52808
3659|||||
3660|153|Lake River|Bear Creek|AR|73075
3661|873|Cherry |Florence|NE|63394
3662|752|6th |Summit|MN|50499
3663|698|10th |Lakewood|KY|48877
3664|450|15th |Oak Grove|ND|58370
3665|665|Eigth Washington|Page|ID|80296
3666|852|Lake |Maple Grove|MO|68252
3667||Maple |Antioch||
3668|820|4th |Arlington|MT|66557
3669|534|Sixth Sycamore|Maple Grove|VT|08852
3670|976|West |Crossroads|NC|20534
3671|477|East |Georgetown|TX|77057
3672|557|Adams |Glendale|NM|83951
3673|567|Meadow Hillcrest|Bunker Hill|GA|30150
3674|291|Fifth Lincoln|Hopewell|SD|50587
3675|921|Third |Mountain View|TX|74466
3676|317|Adams Maple|Edgewood|KS|60069
3677|682|Franklin Spruce|Kingston|MI|44975
3678|766|Central |Sunnyside|OR|91952
3679|201|Davis |Buena Vista|MS|55752
3680|966|Mill Meadow|Glendale|TX|73951
3681|582|Oak Central|Red Bank|IN|44975
3682|359||Georgetown|MI|47057
3683|241|Pine View|Lakewood|CO|88877
3684|949|Madison Johnson|Spring Grove|WA|96719
3685|423|Sycamore 9th|Shady Grove|CT|03412
3686|||Farmington|IN|
3687|379|3rd College|Spring Hill|TX|76787
3688|11|Ridge |Jamestown|GA|36867
3689|537|Eigth 12th|Forest Hills|AR|79237
3690|292|Broadway South|Deerfield|GA|39840
3691|669|Ash Valley|Brownsville|OK|79310
3692|314|Mill 12th|Buena Vista|KS|65752
3693|699|North Wilson|Lakeside|VA|29532
3694|1|Church Second|Greenfield|MO|65038
3695|952|Mill Sunset|Cedar Grove|AR|70411
3696|679|South Main|Concord|NC|24107
3697|989|Sunset Oak|Salem|OH|48048
3698|424|Johnson |Forest Hills|IL|69237
3699|472|Park 6th|Lakeview|OH|48579
3700|320|Meadow |Spring Hill|OK|76787
3701|374|Pine |Green Acres|NY|17683
3702|935|River Church|Springdale|MN|58883
3703|985|Park |Wilson|MS|56971
3704|542|Hillcrest |Buena Vista|NC|25752
3705|914|Johnson Elm|Spring Hill|TN|36787
3706|597|Oak Franklin|Riverview|IL|69003
3707|425|4th Park|Five Forks|MD|22293
3708|58|Maple Ridge|Arlington|KY|46557
3709|897|14th Mill|Buena Vista|GA|35752
3710|565|12th |Liberty|CA|93451
3711|574|Lake Twelfth|Mount Olive|WY|88059
3712|959|6th 3rd|Riverside|KY|49231
3713|462|Madison |Sunnyside|NJ|02552
3714|203|Second First|Riverdale|KS|69391
3715|464|Poplar 5th|Oak Ridge|VT|08971
3716|222|9th |Greenfield|WI|55038
3717|433|River Spruce|Sunnyside|TX|71952
3718||||LA|
3719|40|14th |Enterprise|OK|71757
3720|404|Miller |Edgewood|KY|40069
3721|597|Williams |Greenwood|IL|68828
3722|320|Ridge Sixth|Franklin|MO|69101
3723|189|Spruce |Hopewell|VA|20587
3724|4|Chestnut Chestnut|Oakwood|MT|60169
3725|193|Washington |Fairfield|NC|26192
3726|877|12th Seventh|Oakdale|NV|89584
3727|444|4th Railroad|Spring Hill|NV|86787
3728|176|Meadow Miller|Glenwood|MO|63511
3729|408|Walnut |Deerfield|PA|19840
3730|80|View |Waterloo|MS|51675
3731|957|Cherry |Lakeside|PA|19532
3732|604|Dogwood |New Hope|WI|59431
3733|650|8th |Macedonia|OR|91087
3734|692|College |Pleasant Hill|NE|63604
3735|229|Woodland Oak|Richfield|TX|76196
3736|369|Hickory Johnson|Florence|HI|93394
3737|371|2nd |Forest Hills|OH|49237
3738|102|Poplar |Arlington|VA|26557
3739|727|4th Maple|Mount Zion|TX|78054
3740|565|Mill |Salem|NC|28048
3741|440|12th Oak|Pleasant Valley|TX|72477
3742|750|Hillcrest |Hamilton|KS|62808
3743|608|Third 5th|Friendship|TN|34536
3744|716|Ash |Greenwood|OK|78828
3745|157|Poplar 9th|New Town|OK|79634
3746|507|College |Glenwood|ME|04111
3747|777|Fourth Davis|Phoenix|KS|62276
3748|668|Miller |Harmony|CA|95804
3749|785|Poplar |White Oak|NC|26668
3750|73|Sunset |Whitney|IL|68339
